"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2014 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",47877
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",23445
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",22939
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",23028
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",11461
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",10203
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",29627
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",2065
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-15.98360656
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.925115297
"Белгородская область","3_11","Всего разыскивалось лиц",1831
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",646
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1169
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",1477
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",470
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",992
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",255
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",116
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-26.97095436
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.065217391
"Брянская область","3_11","Всего разыскивалось лиц",2465
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",862
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1590
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",1715
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",569
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1134
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",330
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",90
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.76923077
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.396588486
"Владимирская область","3_11","Всего разыскивалось лиц",1735
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1000
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",717
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",726
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",604
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",105
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",720
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",64
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.04892368
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-12.44377811
"Воронежская область","3_11","Всего разыскивалось лиц",2396
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",697
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1443
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",1682
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",419
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1009
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",218
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",42
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-17.87878788
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",9.221902017
"Ивановская область","3_11","Всего разыскивалось лиц",1416
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",869
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",376
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",834
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",606
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",72
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",431
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",55
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.57790368
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.028753994
"Калужская область","3_11","Всего разыскивалось лиц",1345
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",847
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",454
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",627
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",493
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",98
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",493
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",56
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.87412587
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.0817942
"Костромская область","3_11","Всего разыскивалось лиц",709
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",380
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",329
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",318
