"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - сентябрь 2015 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",39697
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",19152
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",19617
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",16381
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",8082
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",7491
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",16466
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",1281
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.20542192
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.738439981
"Белгородская область","3_11","Всего разыскивалось лиц",1338
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",485
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",843
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",990
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",309
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",671
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",183
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",52
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.43478261
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-14.87179487
"Брянская область","3_11","Всего разыскивалось лиц",1777
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",600
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1168
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",1136
