"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - июнь 2017 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",31051
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",15159
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",15293
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",9585
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",4437
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",4650
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",6316
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",656
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-21.21047737
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-19.14743288
"Белгородская область","3_11","Всего разыскивалось лиц",930
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",339
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",587
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",577
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",158
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",415
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",75
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.91603053
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.494505495
"Брянская область","3_11","Всего разыскивалось лиц",1098
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",333
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",760
