"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - март 2018 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",25671
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",13276
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",12074
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",4441
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2235
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1984
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",5139
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",274
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-19,20534891"
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-23,22779923"
"Белгородская область","3_11","Всего разыскивалось лиц",634
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",255
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",376
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",281
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",78
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",200
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",58
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",3
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-32,44274809"
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-4,347826087"
"Брянская область","3_11","Всего разыскивалось лиц",709
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",256
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",449
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",245
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",101
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",141
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",59
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",8
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-53,61445783"
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-33,40563991"
"Владимирская область","3_11","Всего разыскивалось лиц",857
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",383
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",468
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",116
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",108
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",5
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",95
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-48,046875"
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-33,23529412"
"Воронежская область","3_11","Всего разыскивалось лиц",1093
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",350
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",674
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",457
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",90
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",302
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",156
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",8
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-17,51592357"
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","5,099150142"
"Ивановская область","3_11","Всего разыскивалось лиц",601
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",293
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",271
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",127
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",101
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",5
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",64
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",2
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-45,84527221"
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-17,70186335"
"Калужская область","3_11","Всего разыскивалось лиц",758
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",457
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",289
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",124
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",109
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",6
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",85
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-16,98564593"
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-28,75318066"
"Костромская область","3_11","Всего разыскивалось лиц",366
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",124
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",242
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",39
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",36
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",3
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",25
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",0
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-52,74725275"
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-12,86764706"
"Курская область","3_11","Всего разыскивалось лиц",608
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",260
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",346
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",272
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",99
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",171
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",26
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",1
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-49,6875"
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-35,33834586"
"Липецкая область","3_11","Всего разыскивалось лиц",421
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",239
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",182
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",84
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",79
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",5
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",56
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",0
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-35,6846473"
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-28,86178862"
"г. Москва","3_11","Всего разыскивалось лиц",9052
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",6094
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2809
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",913
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",590
